objectid,title,creator,yearcreated,locationcreated,description,itemtype,pattern,patternalternation?,sizingnotes,filename,filesize,filecreator,format,filedate,rights
obj001,2023 Book Blanket,"Luria, Anna",2024,Iowa,"Handmade crochet blanket. Made with a 5 mm crochet hook and Red Heart Super Saver brand worsted weight yarn. Each row represents a book read in 2023. Purple represents nonfiction, blue represents romance, and white represents all non-romance fiction, including graphic novels and comics. The white border is for aesthetics and does not represent a book.",Blanket,No pattern used,,,IMG_001.jpg,2.36 MB,"Luria, Anna",image/jpeg,2024-03-28,"Luria, Anna"
obj002,Mini Chunky Lace Blanket,"Luria, Anna",2023,Iowa,Handmade crochet blanket for pets. Made with a 10 mm crochet hook and Bernat Blanket yarn.,Blanket,https://fiberfluxblog.com/2016/08/free-crochet-patternfamily-room-throw.html,,,IMG_002.jpg,2.04 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj003,Scrap Yarn Blanket,"Luria, Anna",2023,Iowa,Handmade crochet blanket. Made with a 5.5 mm crochet hook and a variety of types of yarn.,Blanket,https://jaydainstitches.com/resources/Scrapbuster_Blanket_Pattern.pdf,,,IMG_003.jpg,2.25 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj004,Chunky Lace Blanket,"Luria, Anna",2023,Iowa,Handmade crochet blanket. Made with a 10 mm crochet hook and Bernat Blanket yarn.,Blanket,https://fiberfluxblog.com/2016/08/free-crochet-patternfamily-room-throw.html,,,IMG_004.jpg,1.57 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj005,Square Neck Ribbed Crop Top,"Luria, Anna",2022,Iowa,Handmade crochet crop top. Made with a 4.5 mm crochet hook and DK weight yarn. ,Crop top,https://forthefrills.com/easy-square-neck-ribbed-crop-top-free-crochet-pattern/,,Size XL,IMG_005.jpg,1.32 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj006,Ombre Tank Top,"Luria, Anna",2023,Iowa,Handmade crochet tank top. Made with a 5.5 mm crochet hook and Cotton Fleece brand cotton yarn. ,Tank top,https://www.hookedonhomemadehappiness.com/ombre-crochet-tank-top/,,Size XL,IMG_006.jpg,1.71 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj007,Summer Fruits Top,"Luria, Anna",2023,Iowa,Handmade crochet crop top. Made with 4 and 5 mm crochet hooks and DK weight yarn. ,Crop top,https://www.crochetwithcarrie.com/crochet-summer-fruits-top/,,Size XL,IMG_007.jpg,1.62 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj008,Ruffle Strap Tank Top,"Luria, Anna",2023,Iowa.Handmade crochet tank top. Made with a 5 mm crochet hook and Rice Creative Cotton Aran yarn.,Tank top,https://forthefrills.com/crochet-ruffle-strap-tank-top-free-pattern-video-tutorial/,,Size XL,IMG_008.jpg,1.62 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj009,Cumberland Tank,"Luria, Anna",2024,Iowa,"Handmade crochet tank top. Made with 5.5 and 6 mm crochet hooks, Cotton Fleece brand yarn, and Valley Yarns Haydenville Worsted Weight yarn.",Tank top,https://www.lovecrafts.com/en-us/p/cumberland-tank-in-lion-brand-color-theory-v1653487403911-downloadable-pdf,Used a different yarn weight,Size L,IMG_009.jpg,2.00 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
obj010,Cumberland Tank,"Luria, Anna",2024,Iowa,Handmade crochet tank top. Made with 5.5 and 6 mm crochet hooks and Stay Charles brand cotton yarn. ,Tank top,https://www.lovecrafts.com/en-us/p/cumberland-tank-in-lion-brand-color-theory-v1653487403911-downloadable-pdf,Used a different yarn weight,Size L,IMG_010.jpg,2.31 MB,"Luria, Anna",image/jpeg,2024-04-15,"Luria, Anna"
